,date_time,T,p,rh,Vpact,wv,rho
0,01.01.2024 00:10:00,7.63,979.65,71.53,7.49,3.37,1211.93
1,01.01.2024 00:20:00,7.63,979.56,71.18,7.45,2.63,1211.82
2,01.01.2024 00:30:00,7.56,979.51,71.0,7.4,3.48,1212.11
3,01.01.2024 00:40:00,7.51,979.43,70.91,7.36,3.73,1212.25
4,01.01.2024 00:50:00,7.42,979.35,70.93,7.32,3.06,1212.56
5,01.01.2024 01:00:00,7.2,979.34,71.76,7.3,3.59,1213.48
6,01.01.2024 01:10:00,7.12,979.25,71.97,7.27,3.7,1213.75
7,01.01.2024 01:20:00,7.08,979.21,71.79,7.24,2.45,1213.89
8,01.01.2024 01:30:00,7.01,979.3,71.92,7.22,3.03,1214.32
9,01.01.2024 01:40:00,6.84,979.43,72.78,7.22,2.78,1215.21
10,01.01.2024 01:50:00,6.67,979.42,74.14,7.27,3.71,1215.91
11,01.01.2024 02:00:00,6.53,979.46,75.42,7.32,4.48,1216.52
12,01.01.2024 02:10:00,6.49,979.36,75.6,7.32,4.79,1216.57
13,01.01.2024 02:20:00,6.44,979.19,75.94,7.32,4.9,1216.61
14,01.01.2024 02:30:00,6.42,979.16,76.37,7.36,4.6,1216.65
15,01.01.2024 02:40:00,6.47,979.26,76.52,7.4,5.05,1216.51
16,01.01.2024 02:50:00,6.54,979.23,76.68,7.45,6.69,1216.17
17,01.01.2024 03:00:00,6.59,979.27,76.9,7.5,6.15,1215.96
18,01.01.2024 03:10:00,6.64,979.32,76.98,7.53,6.3,1215.8
19,01.01.2024 03:20:00,6.8,979.26,76.31,7.55,6.35,1215.03
20,01.01.2024 03:30:00,6.87,979.27,75.97,7.55,5.78,1214.73
21,01.01.2024 03:40:00,6.89,979.29,75.56,7.52,5.67,1214.65
22,01.01.2024 03:50:00,6.92,979.45,75.35,7.51,5.17,1214.76
23,01.01.2024 04:00:00,6.85,979.37,75.65,7.51,5.53,1214.97
24,01.01.2024 04:10:00,6.82,979.45,76.0,7.53,5.29,1215.15
25,01.01.2024 04:20:00,6.7,979.41,77.13,7.58,4.98,1215.61
26,01.01.2024 04:30:00,6.67,979.34,77.78,7.63,5.53,1215.62
27,01.01.2024 04:40:00,6.6,979.34,78.8,7.69,5.49,1215.92
28,01.01.2024 04:50:00,6.51,979.29,79.51,7.71,5.53,1216.21
29,01.01.2024 05:00:00,6.45,979.31,79.85,7.71,5.75,1216.5
30,01.01.2024 05:10:00,6.37,979.25,80.4,7.72,4.59,1216.8
31,01.01.2024 05:20:00,6.24,979.31,81.0,7.71,4.05,1217.42
32,01.01.2024 05:30:00,6.2,979.19,81.2,7.7,6.04,1217.47
33,01.01.2024 05:40:00,6.15,979.2,81.6,7.72,4.54,1217.66
34,01.01.2024 05:50:00,6.03,979.1,82.1,7.7,4.93,1218.07
35,01.01.2024 06:00:00,5.97,979.13,82.3,7.68,3.18,1218.4
36,01.01.2024 06:10:00,5.86,979.15,82.8,7.67,3.08,1218.91
37,01.01.2024 06:20:00,5.88,979.12,82.4,7.65,4.83,1218.81
38,01.01.2024 06:30:00,5.94,979.11,81.7,7.61,4.91,1218.53
39,01.01.2024 06:40:00,6.09,978.97,81.2,7.64,6.56,1217.71
40,01.01.2024 06:50:00,6.14,979.06,81.0,7.65,6.31,1217.58
41,01.01.2024 07:00:00,6.01,979.16,81.6,7.64,4.55,1218.26
42,01.01.2024 07:10:00,5.92,979.16,81.7,7.6,5.02,1218.71
43,01.01.2024 07:20:00,5.86,979.33,81.7,7.57,5.56,1219.18
44,01.01.2024 07:30:00,5.9,979.36,81.4,7.56,6.32,1219.06
45,01.01.2024 07:40:00,5.86,979.45,81.2,7.53,4.96,1219.33
46,01.01.2024 07:50:00,5.82,979.45,81.1,7.49,5.08,1219.55
47,01.01.2024 08:00:00,5.79,979.55,80.9,7.46,5.31,1219.83
48,01.01.2024 08:10:00,5.79,979.64,80.7,7.44,5.17,1219.94
49,01.01.2024 08:20:00,5.91,979.69,80.1,7.45,5.75,1219.45
50,01.01.2024 08:30:00,6.01,979.87,79.48,7.44,4.62,1219.26
51,01.01.2024 08:40:00,5.95,980.04,79.79,7.44,4.01,1219.72
52,01.01.2024 08:50:00,6.01,980.09,79.5,7.44,5.28,1219.55
53,01.01.2024 09:00:00,6.14,980.11,78.82,7.45,5.37,1218.98
54,01.01.2024 09:10:00,6.35,980.11,78.13,7.49,5.25,1218.06
55,01.01.2024 09:20:00,6.58,980.2,77.36,7.54,4.74,1217.15
56,01.01.2024 09:30:00,6.69,980.27,77.02,7.56,5.05,1216.73
57,01.01.2024 09:40:00,6.63,980.37,77.49,7.58,4.75,1217.1
58,01.01.2024 09:50:00,6.62,980.38,77.43,7.57,4.78,1217.16
59,01.01.2024 10:00:00,6.66,980.42,77.32,7.57,4.25,1217.06
60,01.01.2024 10:10:00,6.71,980.52,77.42,7.61,3.99,1216.92
61,01.01.2024 10:20:00,6.79,980.57,76.54,7.56,5.31,1216.67
62,01.01.2024 10:30:00,6.92,980.52,75.25,7.51,5.58,1216.07
63,01.01.2024 10:40:00,6.99,980.53,74.38,7.45,6.1,1215.8
64,01.01.2024 10:50:00,7.02,980.53,73.73,7.4,5.63,1215.69
65,01.01.2024 11:00:00,7.15,980.49,72.22,7.32,7.52,1215.14
66,01.01.2024 11:10:00,7.4,980.44,71.4,7.36,7.2,1213.96
67,01.01.2024 11:20:00,7.44,980.43,71.74,7.42,5.63,1213.73
68,01.01.2024 11:30:00,7.45,980.42,71.92,7.44,7.2,1213.68
69,01.01.2024 11:40:00,7.29,980.54,73.39,7.51,5.85,1214.49
70,01.01.2024 11:50:00,7.15,980.58,74.85,7.58,5.79,1215.1
71,01.01.2024 12:00:00,7.08,980.63,75.45,7.61,6.71,1215.49
72,01.01.2024 12:10:00,7.04,980.49,75.88,7.63,7.1,1215.47
73,01.01.2024 12:20:00,7.08,980.4,75.83,7.64,6.45,1215.18
74,01.01.2024 12:30:00,7.24,980.45,74.69,7.61,6.41,1214.56
75,01.01.2024 12:40:00,7.37,980.54,73.89,7.6,6.4,1214.12
76,01.01.2024 12:50:00,7.51,980.46,72.32,7.51,7.21,1213.43
77,01.01.2024 13:00:00,7.85,980.53,69.74,7.41,7.54,1212.12
78,01.01.2024 13:10:00,8.01,980.49,68.12,7.32,7.71,1211.41
79,01.01.2024 13:20:00,8.15,980.43,67.63,7.34,7.18,1210.73
80,01.01.2024 13:30:00,8.03,980.35,68.64,7.39,5.75,1211.12
81,01.01.2024 13:40:00,7.86,980.32,70.15,7.46,6.41,1211.79
82,01.01.2024 13:50:00,7.62,980.43,73.1,7.65,5.06,1212.86
83,01.01.2024 14:00:00,7.44,980.45,74.95,7.75,6.09,1213.6
84,01.01.2024 14:10:00,7.37,980.39,75.71,7.79,6.34,1213.83
85,01.01.2024 14:20:00,7.27,980.36,76.03,7.77,6.79,1214.25
86,01.01.2024 14:30:00,7.23,980.37,75.77,7.72,6.8,1214.47
87,01.01.2024 14:40:00,7.26,980.35,75.49,7.7,7.21,1214.31
88,01.01.2024 14:50:00,7.25,980.43,75.96,7.75,6.15,1214.42
89,01.01.2024 15:00:00,7.16,980.47,76.54,7.76,6.01,1214.84
90,01.01.2024 15:10:00,7.1,980.66,77.01,7.78,5.74,1215.32
91,01.01.2024 15:20:00,7.13,980.85,77.02,7.79,4.81,1215.46
92,01.01.2024 15:30:00,7.11,980.92,77.17,7.8,5.27,1215.6
93,01.01.2024 15:40:00,7.02,981.04,78.24,7.86,4.99,1216.11
94,01.01.2024 15:50:00,6.93,981.15,79.44,7.93,4.39,1216.62
95,01.01.2024 16:00:00,6.76,981.25,81.1,8.0,4.08,1217.45
96,01.01.2024 16:10:00,6.69,981.32,81.4,7.99,3.79,1217.83
97,01.01.2024 16:20:00,6.64,981.36,81.7,7.99,2.55,1218.11
98,01.01.2024 16:30:00,6.57,981.41,81.7,7.95,2.86,1218.49
99,01.01.2024 16:40:00,6.51,981.56,81.9,7.94,2.85,1218.94
100,01.01.2024 16:50:00,6.49,981.75,81.7,7.91,2.78,1219.29
101,01.01.2024 17:00:00,6.5,981.91,81.9,7.93,2.73,1219.43
102,01.01.2024 17:10:00,6.45,982.06,82.6,7.98,2.58,1219.8
103,01.01.2024 17:20:00,6.32,982.17,83.9,8.03,4.04,1220.48
104,01.01.2024 17:30:00,6.17,982.3,85.2,8.07,2.89,1221.29
105,01.01.2024 17:40:00,6.06,982.41,85.4,8.03,3.1,1221.92
106,01.01.2024 17:50:00,6.0,982.47,86.1,8.06,2.85,1222.26
107,01.01.2024 18:00:00,5.94,982.52,86.6,8.07,3.01,1222.6
108,01.01.2024 18:10:00,5.95,982.45,85.1,7.94,3.41,1222.5
109,01.01.2024 18:20:00,5.95,982.56,84.1,7.84,3.56,1222.68
110,01.01.2024 18:30:00,5.82,982.76,85.2,7.88,1.55,1223.48
111,01.01.2024 18:40:00,5.79,982.88,85.3,7.87,2.59,1223.77
112,01.01.2024 18:50:00,5.67,982.82,87.1,7.96,1.63,1224.21
113,01.01.2024 19:00:00,5.54,982.85,87.8,7.96,3.21,1224.81
114,01.01.2024 19:10:00,5.63,982.94,87.5,7.98,3.22,1224.51
115,01.01.2024 19:20:00,5.56,982.8,87.4,7.93,3.69,1224.65
116,01.01.2024 19:30:00,5.4,982.92,88.1,7.91,2.46,1225.52
117,01.01.2024 19:40:00,5.15,982.94,88.0,7.76,3.35,1226.7
118,01.01.2024 19:50:00,4.93,983.05,87.8,7.63,3.16,1227.89
119,01.01.2024 20:00:00,4.7,983.08,88.1,7.53,2.92,1228.97
120,01.01.2024 20:10:00,4.48,983.17,88.7,7.46,3.13,1230.12
121,01.01.2024 20:20:00,4.23,983.2,89.1,7.37,2.93,1231.3
122,01.01.2024 20:30:00,4.22,983.21,88.5,7.31,3.02,1231.4
123,01.01.2024 20:40:00,4.18,983.22,88.2,7.27,3.43,1231.62
124,01.01.2024 20:50:00,4.08,983.24,88.5,7.24,2.83,1232.09
125,01.01.2024 21:00:00,4.01,983.29,88.5,7.2,3.3,1232.49
126,01.01.2024 21:10:00,4.18,983.39,87.3,7.19,2.89,1231.85
127,01.01.2024 21:20:00,4.17,983.44,87.4,7.2,3.05,1231.96
128,01.01.2024 21:30:00,4.18,983.51,87.6,7.22,3.56,1232.0
129,01.01.2024 21:40:00,4.39,983.55,86.6,7.24,3.78,1231.11
130,01.01.2024 21:50:00,4.53,983.74,85.7,7.24,3.8,1230.71
131,01.01.2024 22:00:00,4.41,983.66,87.0,7.29,2.36,1231.13
132,01.01.2024 22:10:00,4.39,983.32,87.8,7.34,4.51,1230.77
133,01.01.2024 22:20:00,4.16,983.38,88.7,7.3,4.44,1231.86
134,01.01.2024 22:30:00,3.85,983.27,91.4,7.36,4.19,1233.06
135,01.01.2024 22:40:00,3.58,983.31,93.3,7.37,3.67,1234.32
136,01.01.2024 22:50:00,3.44,983.24,94.5,7.39,2.97,1234.87
137,01.01.2024 23:00:00,3.67,983.16,95.0,7.55,3.68,1233.65
138,01.01.2024 23:10:00,4.25,983.11,92.4,7.65,3.28,1230.95
139,01.01.2024 23:20:00,4.46,983.15,92.0,7.73,2.92,1230.06
140,01.01.2024 23:30:00,4.53,983.14,91.9,7.76,2.74,1229.7
141,01.01.2024 23:40:00,4.55,983.1,92.1,7.79,2.07,1229.56
142,01.01.2024 23:50:00,4.58,983.08,92.0,7.8,1.74,1229.37
143,02.01.2024 00:00:00,4.29,983.08,93.6,7.78,1.13,1230.68
144,02.01.2024 00:10:00,3.91,982.99,96.0,7.76,1.21,1232.29
145,02.01.2024 00:20:00,3.65,983.02,97.5,7.74,1.56,1233.46
146,02.01.2024 00:30:00,3.63,982.98,98.3,7.79,1.42,1233.49
147,02.01.2024 00:40:00,3.86,982.96,97.3,7.84,1.15,1232.44
148,02.01.2024 00:50:00,4.16,982.92,95.4,7.85,1.09,1231.05
149,02.01.2024 01:00:00,4.16,982.73,95.6,7.87,1.38,1230.78
150,02.01.2024 01:10:00,4.09,982.52,96.2,7.88,1.45,1230.84
151,02.01.2024 01:20:00,3.95,982.33,97.1,7.87,2.03,1231.23
152,02.01.2024 01:30:00,3.86,982.18,97.7,7.87,2.6,1231.45
153,02.01.2024 01:40:00,3.93,982.14,97.2,7.87,2.58,1231.07
154,02.01.2024 01:50:00,4.2,982.01,95.4,7.87,2.69,1229.69
155,02.01.2024 02:00:00,4.41,981.82,93.8,7.86,3.25,1228.53
156,02.01.2024 02:10:00,5.1,981.74,88.9,7.81,3.35,1225.41
157,02.01.2024 02:20:00,4.92,981.7,91.2,7.91,1.88,1226.13
158,02.01.2024 02:30:00,4.3,981.62,95.4,7.93,1.53,1228.73
159,02.01.2024 02:40:00,4.12,981.55,97.0,7.96,1.09,1229.44
160,02.01.2024 02:50:00,4.06,981.34,97.9,8.0,1.02,1229.41
161,02.01.2024 03:00:00,3.98,981.26,98.4,8.0,1.68,1229.66
162,02.01.2024 03:10:00,3.92,981.14,98.8,7.99,1.7,1229.81
163,02.01.2024 03:20:00,3.92,980.98,98.9,8.0,1.85,1229.61
164,02.01.2024 03:30:00,4.02,980.84,98.0,7.99,2.04,1228.95
165,02.01.2024 03:40:00,4.14,980.72,97.2,7.98,1.87,1228.31
166,02.01.2024 03:50:00,4.18,980.55,96.9,7.98,1.87,1227.91
167,02.01.2024 04:00:00,4.18,980.29,96.5,7.95,2.13,1227.57
168,02.01.2024 04:10:00,4.18,980.08,96.1,7.92,2.25,1227.33
169,02.01.2024 04:20:00,4.31,979.85,94.6,7.87,2.42,1226.49
170,02.01.2024 04:30:00,4.43,979.58,92.9,7.79,2.79,1225.69
171,02.01.2024 04:40:00,4.51,979.32,91.9,7.75,2.89,1225.02
172,02.01.2024 04:50:00,4.58,979.05,90.5,7.67,3.02,1224.4
173,02.01.2024 05:00:00,4.63,978.74,90.0,7.66,2.79,1223.78
174,02.01.2024 05:10:00,4.68,978.55,89.6,7.65,2.69,1223.32
175,02.01.2024 05:20:00,4.74,978.31,89.2,7.65,3.4,1222.76
176,02.01.2024 05:30:00,4.8,978.2,88.9,7.65,3.77,1222.35
177,02.01.2024 05:40:00,4.9,978.02,88.2,7.64,4.3,1221.73
178,02.01.2024 05:50:00,4.99,977.77,88.1,7.68,3.85,1220.99
179,02.01.2024 06:00:00,4.99,977.47,88.6,7.73,3.17,1220.58
180,02.01.2024 06:10:00,4.97,977.22,89.1,7.76,3.55,1220.37
181,02.01.2024 06:20:00,4.96,977.04,89.7,7.81,3.08,1220.17
182,02.01.2024 06:30:00,4.9,976.75,90.9,7.88,3.14,1220.0
183,02.01.2024 06:40:00,4.9,976.44,91.6,7.94,3.03,1219.58
184,02.01.2024 06:50:00,4.92,976.19,92.0,7.99,3.06,1219.15
185,02.01.2024 07:00:00,5.0,975.96,91.4,7.98,4.41,1218.53
186,02.01.2024 07:10:00,4.98,975.94,92.1,8.03,3.53,1218.56
187,02.01.2024 07:20:00,4.93,975.96,92.8,8.06,3.37,1218.8
188,02.01.2024 07:30:00,4.85,975.64,92.6,8.0,5.02,1218.78
189,02.01.2024 07:40:00,4.64,975.45,93.1,7.92,4.76,1219.51
190,02.01.2024 07:50:00,4.44,975.34,93.6,7.85,4.71,1220.29
191,02.01.2024 08:00:00,4.3,975.27,93.5,7.77,4.79,1220.85
192,02.01.2024 08:10:00,4.12,975.13,93.5,7.67,4.95,1221.52
193,02.01.2024 08:20:00,3.98,974.99,94.7,7.7,4.17,1221.93
194,02.01.2024 08:30:00,3.89,974.84,95.1,7.68,4.64,1222.15
195,02.01.2024 08:40:00,3.81,974.62,96.1,7.71,3.82,1222.23
196,02.01.2024 08:50:00,3.75,974.43,96.8,7.74,3.92,1222.22
197,02.01.2024 09:00:00,3.76,974.26,97.3,7.78,4.5,1221.94
198,02.01.2024 09:10:00,3.76,974.02,97.7,7.82,4.68,1221.61
199,02.01.2024 09:20:00,3.82,973.83,97.1,7.8,4.25,1221.14
200,02.01.2024 09:30:00,3.87,973.44,96.9,7.81,4.61,1220.4
201,02.01.2024 09:40:00,3.91,973.18,96.8,7.82,4.86,1219.92
202,02.01.2024 09:50:00,3.96,972.98,96.4,7.82,5.39,1219.45
203,02.01.2024 10:00:00,4.03,972.83,95.8,7.81,5.31,1218.95
204,02.01.2024 10:10:00,4.17,972.75,94.9,7.81,4.8,1218.25
205,02.01.2024 10:20:00,4.36,972.54,93.5,7.8,5.01,1217.15
206,02.01.2024 10:30:00,4.49,972.39,93.2,7.85,4.43,1216.34
207,02.01.2024 10:40:00,4.59,972.29,92.6,7.85,4.88,1215.79
208,02.01.2024 10:50:00,4.7,972.2,92.1,7.87,4.9,1215.17
209,02.01.2024 11:00:00,4.83,972.12,91.9,7.93,4.56,1214.5
210,02.01.2024 11:10:00,5.02,971.98,91.8,8.02,4.34,1213.45
211,02.01.2024 11:20:00,5.21,971.85,91.6,8.11,3.29,1212.41
212,02.01.2024 11:30:00,5.41,971.86,90.9,8.17,2.35,1211.52
213,02.01.2024 11:40:00,5.53,971.69,91.0,8.24,2.45,1210.78
214,02.01.2024 11:50:00,5.78,971.43,90.9,8.38,3.38,1209.27
215,02.01.2024 12:00:00,6.19,971.25,90.6,8.59,3.36,1207.19
216,02.01.2024 12:10:00,6.73,971.12,89.6,8.82,5.24,1204.57
217,02.01.2024 12:20:00,7.41,971.02,87.4,9.01,5.48,1201.45
218,02.01.2024 12:30:00,7.69,970.91,86.4,9.08,6.47,1200.08
219,02.01.2024 12:40:00,7.9,970.95,85.9,9.16,6.41,1199.21
220,02.01.2024 12:50:00,8.01,970.88,86.1,9.25,5.71,1198.6
221,02.01.2024 13:00:00,8.13,970.71,86.4,9.36,7.79,1197.83
222,02.01.2024 13:10:00,8.33,970.54,86.4,9.49,7.61,1196.7
223,02.01.2024 13:20:00,8.5,970.47,86.5,9.61,7.6,1195.84
224,02.01.2024 13:30:00,8.6,970.54,86.5,9.68,5.86,1195.47
225,02.01.2024 13:40:00,8.7,970.43,86.3,9.72,7.23,1194.89
226,02.01.2024 13:50:00,8.88,970.3,85.8,9.78,9.35,1193.94
227,02.01.2024 14:00:00,9.11,970.21,84.7,9.81,10.07,1192.84
228,02.01.2024 14:10:00,9.27,970.22,84.0,9.83,9.61,1192.17
229,02.01.2024 14:20:00,9.34,970.05,83.6,9.83,9.74,1191.66
230,02.01.2024 14:30:00,9.39,970.06,83.2,9.82,8.88,1191.47
231,02.01.2024 14:40:00,9.42,970.23,82.8,9.79,8.02,1191.57
232,02.01.2024 14:50:00,9.49,970.33,82.1,9.75,8.26,1191.41
233,02.01.2024 15:00:00,9.52,970.51,81.9,9.75,6.95,1191.51
234,02.01.2024 15:10:00,9.53,970.64,82.0,9.77,5.01,1191.62
235,02.01.2024 15:20:00,9.5,970.44,82.2,9.77,6.68,1191.5
236,02.01.2024 15:30:00,9.38,970.26,83.1,9.8,7.76,1191.77
237,02.01.2024 15:40:00,9.17,970.3,84.7,9.85,7.8,1192.68
238,02.01.2024 15:50:00,8.95,970.42,86.5,9.91,6.58,1193.73
239,02.01.2024 16:00:00,8.71,970.44,88.3,9.95,5.56,1194.75
240,02.01.2024 16:10:00,8.56,970.4,89.7,10.01,4.52,1195.31
241,02.01.2024 16:20:00,8.48,970.27,90.4,10.03,4.41,1195.48
242,02.01.2024 16:30:00,8.37,970.15,91.4,10.07,4.21,1195.78
243,02.01.2024 16:40:00,8.32,970.04,91.7,10.06,4.11,1195.86
244,02.01.2024 16:50:00,8.25,969.96,92.5,10.1,3.18,1196.04
245,02.01.2024 17:00:00,8.18,969.76,93.1,10.12,3.27,1196.08
246,02.01.2024 17:10:00,8.12,969.57,93.2,10.09,4.14,1196.11
247,02.01.2024 17:20:00,8.1,969.43,93.3,10.09,4.16,1196.03
248,02.01.2024 17:30:00,8.1,969.26,93.3,10.09,3.89,1195.82
249,02.01.2024 17:40:00,8.12,969.12,93.2,10.09,3.91,1195.56
250,02.01.2024 17:50:00,8.13,968.95,92.9,10.06,4.11,1195.32
251,02.01.2024 18:00:00,8.15,968.82,92.8,10.07,3.8,1195.07
252,02.01.2024 18:10:00,8.11,968.58,93.0,10.06,3.59,1194.94
253,02.01.2024 18:20:00,8.14,968.45,92.6,10.04,3.63,1194.67
254,02.01.2024 18:30:00,8.16,968.17,92.3,10.02,3.6,1194.24
255,02.01.2024 18:40:00,8.19,967.9,92.1,10.02,3.94,1193.78
256,02.01.2024 18:50:00,8.28,967.83,91.5,10.01,3.29,1193.32
257,02.01.2024 19:00:00,8.3,967.61,91.4,10.02,4.01,1192.96
258,02.01.2024 19:10:00,8.41,967.52,91.1,10.06,4.42,1192.36
259,02.01.2024 19:20:00,8.49,967.42,91.1,10.11,4.45,1191.87
260,02.01.2024 19:30:00,8.44,967.2,92.5,10.23,3.81,1191.76
261,02.01.2024 19:40:00,8.35,966.99,93.6,10.29,5.12,1191.85
262,02.01.2024 19:50:00,8.43,966.85,93.5,10.34,5.55,1191.32
263,02.01.2024 20:00:00,8.43,966.73,93.9,10.38,4.61,1191.15
264,02.01.2024 20:10:00,8.36,966.52,94.8,10.43,4.2,1191.16
265,02.01.2024 20:20:00,8.36,966.32,94.8,10.43,4.23,1190.91
266,02.01.2024 20:30:00,8.46,966.13,94.1,10.43,4.91,1190.26
267,02.01.2024 20:40:00,8.37,966.05,95.0,10.46,3.54,1190.52
268,02.01.2024 20:50:00,8.32,965.9,95.3,10.46,3.73,1190.55
269,02.01.2024 21:00:00,8.47,965.9,94.3,10.46,3.61,1189.92
270,02.01.2024 21:10:00,8.65,965.79,93.5,10.49,3.92,1189.0
271,02.01.2024 21:20:00,8.72,965.67,93.4,10.53,4.44,1188.54
272,02.01.2024 21:30:00,8.75,965.58,93.4,10.55,4.95,1188.29
273,02.01.2024 21:40:00,8.75,965.5,93.8,10.6,4.68,1188.17
274,02.01.2024 21:50:00,8.62,965.36,95.0,10.64,3.85,1188.53
275,02.01.2024 22:00:00,8.63,965.1,94.7,10.61,5.39,1188.18
276,02.01.2024 22:10:00,8.59,965.07,95.1,10.63,4.69,1188.3
277,02.01.2024 22:20:00,8.59,965.14,94.9,10.61,4.86,1188.4
278,02.01.2024 22:30:00,8.63,965.07,94.5,10.59,5.31,1188.15
279,02.01.2024 22:40:00,8.68,965.07,94.1,10.58,5.5,1187.95
280,02.01.2024 22:50:00,8.65,965.07,94.2,10.57,6.26,1188.08
